control_set,mass_bin,N_bin,N_young,N_old,logM_min,logM_max,logM_median,T50_young_median,T50_old_median,young_resid_median,old_resid_median,median_diff_young_minus_old,bootstrap95_lo,bootstrap95_hi,young_gt_old
strict_intSPS_MW_Eps_logSigma,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.05083396594249001,0.009520295352718422,0.04131367058977159,0.012732973753315977,0.06682115211022088,True
strict_intSPS_MW_Eps_logSigma,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.02481891841211903,-0.02157389390739428,0.04639281231951331,0.00968627684504059,0.0704044672508983,True
strict_intSPS_MW_Eps_logSigma,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,-0.012637112926269983,-0.037171929672817794,0.02453481674654781,-0.0061972939655649956,0.062412389417831296,True
strict_intSPS_MW_Eps_logSigma,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,-0.01460743924149599,-0.026547829880358864,0.011940390638862874,-0.014525738518475648,0.03491232843237166,True
strict_intSPS_MW_Eps_logSigma,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,-0.02266591836748072,-0.04491477845069686,0.022248860083216138,-0.010215306801757074,0.04745325829736732,True
strict_intSPS_MW_Eps_logSigma,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,-0.032221204565958006,-0.014089685124504203,-0.018131519441453803,-0.04762870255514272,0.005716138480671313,False
strict_intSPS_MW_Eps_logSigma,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.006309134021177221,-0.007448484220144824,0.013757618241322045,-0.008554277369508938,0.05142037963890288,True
strict_intSPS_MW_Eps_logSigma,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.06525889120490325,0.017102833462624256,0.04815605774227899,0.02217186444798703,0.07515729463957413,True
strict_obsSPS_MW_Eps_logSigma,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.07303275853166807,0.008084718336696717,0.06494804019497136,0.03606672052366761,0.10245993061240699,True
strict_obsSPS_MW_Eps_logSigma,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.037130082553898935,-0.02717940419723852,0.06430948675113746,0.03037053223401449,0.09410941500613289,True
strict_obsSPS_MW_Eps_logSigma,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,-0.0017282244919359369,-0.046409002683808764,0.04468077819187283,0.016597177629967656,0.07643240183338045,True
strict_obsSPS_MW_Eps_logSigma,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,-0.004616114365540214,-0.03148690136574367,0.026870787000203455,-0.000583870776429769,0.054485497885635885,True
strict_obsSPS_MW_Eps_logSigma,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,-0.01358090789780897,-0.0547913063023559,0.04121039840454693,0.00815629704061635,0.06380437033010707,True
strict_obsSPS_MW_Eps_logSigma,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,-0.023606797629642795,-0.01735314197075033,-0.006253655658892465,-0.03276260009758144,0.02030083978778574,False
strict_obsSPS_MW_Eps_logSigma,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.016459871762070644,-0.01074233645565148,0.027202208217722124,-0.0007514365472793644,0.059411922049897294,True
strict_obsSPS_MW_Eps_logSigma,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.07570531060120955,0.024263901245981934,0.05144140935522762,0.02984153322609502,0.07878683037807434,True
strict_bothSPS_MW_Eps_logSigma,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.07331826152443499,0.010767070069884699,0.06255119145455029,0.033956752888297484,0.10150081025655111,True
strict_bothSPS_MW_Eps_logSigma,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.03554252679515865,-0.0274632306812016,0.06300575747636025,0.01700749348500892,0.09215988415352754,True
strict_bothSPS_MW_Eps_logSigma,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,-0.0036025427982022684,-0.04749011506759021,0.04388757226938794,0.012188757564810495,0.07352299600003782,True
strict_bothSPS_MW_Eps_logSigma,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,-0.004854437495498298,-0.03020811167478371,0.025353674179285413,-0.0063288226092953585,0.05197433198283215,True
strict_bothSPS_MW_Eps_logSigma,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,-0.016425240237413485,-0.05021780547654625,0.033792565239132766,0.002681028152853685,0.0579746459402567,True
strict_bothSPS_MW_Eps_logSigma,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,-0.028416043110063405,-0.013787261039089838,-0.014628782070973567,-0.03841374941013203,0.01355478323006431,False
strict_bothSPS_MW_Eps_logSigma,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.009497434683489736,-0.007696766734463123,0.01719420141795286,-0.010429924471254558,0.055216469519457786,True
strict_bothSPS_MW_Eps_logSigma,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.07278612263173423,0.02656249027630503,0.0462236323554292,0.020509643761300142,0.07073267125289104,True
