outcome,outcome_label,source_side_test,mass_bin,N_bin,N_young,N_old,logM_min,logM_max,logM_median,T50_young_median,T50_old_median,median_young,median_old,median_diff_young_minus_old,bootstrap95_lo,bootstrap95_hi,young_gt_old,old_gt_young,source_side_favorable
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.7464999999999999,0.8075000000000001,-0.061000000000000165,-0.124,-0.010499999999999954,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.6685000000000001,0.7675000000000001,-0.09899999999999998,-0.13549999999999995,-0.040999999999999925,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,0.682,0.7655000000000001,-0.08350000000000002,-0.14200000000000002,-0.030000000000000027,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,0.7024999999999999,0.809,-0.10650000000000015,-0.16049999999999986,-0.07100000000000006,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,0.694,0.838,-0.14400000000000002,-0.18301250000000005,-0.09448750000000021,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,0.7035,0.8505,-0.14700000000000002,-0.18101249999999994,-0.11599999999999999,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.7755000000000001,0.8975,-0.12199999999999989,-0.15249999999999997,-0.08649999999999991,False,True,False
mfl_cyl_log_ML_dyn,JAM dynamical log(M/L),gravity-side young>old,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.8434999999999999,0.9165000000000001,-0.07300000000000018,-0.10899999999999999,-0.04500000000000004,False,True,False
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.19236315295307804,0.3648354962039698,-0.17247234325089178,-0.21006593312795516,-0.10943243945071063,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.3991702924451497,0.4008286516715487,-0.0016583592263990088,-0.062397302139894924,0.04274776781880598,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,0.45673065301940374,0.4843449565560744,-0.02761430353667066,-0.07485444092284815,0.02501147685921441,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,0.5273608668952094,0.6398565990380708,-0.11249573214286135,-0.1984832368626008,-0.05173066437173581,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,0.49577264612536887,0.761105229124944,-0.2653325829995752,-0.3105902609971271,-0.1799524952542926,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,0.5613221269471078,0.8030965650687683,-0.24177443812166044,-0.2630532806243605,-0.21233084007784578,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.595453140324451,0.8259333513398512,-0.23048021101540028,-0.24652034558809496,-0.2014778342420377,False,True,True
sp_ML_int_Re,SPS intrinsic log(M*/L),stellar-model artifact old>young,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.6685491590718698,0.8316144802348184,-0.16306532116294858,-0.18516073161029697,-0.14246590496806774,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,0,744,186,186,7.2690480470812675,9.57187557818932,9.368333998574403,4.256060606060606,12.84848484848485,0.390558334032691,0.5766373591960533,-0.18607902516336228,-0.25283403030510876,-0.12037962837160956,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,1,744,186,186,9.572109176187029,9.876393948254378,9.730605687711488,5.3,12.84848484848485,0.5597958342544997,0.6530150751529027,-0.09321924089840294,-0.13466558334916284,-0.060102541467591086,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,2,744,186,186,9.876556712154152,10.113963396204992,10.001280290889355,5.781818181818182,12.84848484848485,0.625572220270454,0.7302006666029248,-0.10462844633247081,-0.16335410063345196,-0.0532157708625181,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,3,744,186,186,10.114360742518592,10.331143748371574,10.220859591209013,6.103030303030304,12.84848484848485,0.6721186044946732,0.8426883808061196,-0.17056977631144643,-0.21202694801320832,-0.13665165928179712,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,4,744,186,186,10.331234868527272,10.550953203110057,10.441637799024381,5.621212121212121,12.84848484848485,0.638915723045598,0.8619308608811551,-0.22301513783555715,-0.2595145850602598,-0.19497625464406587,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,5,744,186,186,10.55098617762266,10.767844252325547,10.6629158616527,6.103030303030304,12.84848484848485,0.7027623983634963,0.8916862750123482,-0.1889238766488519,-0.2106060367895102,-0.1669575568892973,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,6,744,186,186,10.768300670614613,10.994345312695708,10.88221162955605,6.103030303030304,13.00909090909091,0.7394377125154141,0.9055672251833219,-0.16612951266790776,-0.19103236993684733,-0.14684035638250648,False,True,True
sp_ML_obs_Re,SPS observed log(M*/L),stellar-model artifact old>young,7,744,186,186,10.994807931634906,12.411587721858544,11.13896222555301,6.745454545454546,12.84848484848485,0.7758048253600108,0.9063608258583999,-0.1305560004983891,-0.14628900731174002,-0.11762449734673222,False,True,True
