void_id,void_x,void_y,void_z,Reff_hinvMpc,max_sphere_radius_hinvMpc,edge_flag,N_HI_body,N_HI_interior,N_HI_shell_0p75to1p25,N_dark_candidates,N_HIexcess_top5pct_interior,mean_alignment_median_abs_cos_thetaij,N_has_sdss_phot,N_has_ba,N_has_PA
0,-169.04128243715337,162.88440502982797,209.44050219289232,27.855157995779265,22.44170178630279,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-135.96850622649848,52.52855483415867,271.5381732396927,30.611319498762835,22.33532586297633,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-167.61151272053894,95.79192425084427,251.20074343761445,27.94293226185583,21.81441799850421,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-269.4564180052243,-80.6523861970192,134.97718562646713,29.5412336568886,21.760794870176248,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-229.344681491862,110.9750018697348,103.67740814401114,28.694336538652227,21.14483932809129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-202.22935409414103,166.7282459379273,104.2776717919594,28.490050115582303,20.99153552888716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-162.83056704173163,-16.604918511499612,10.129513917181251,26.729321402712397,19.6601338555816,1,54.0,0.0,133.0,0.0,0.0,0.0,53.0,53.0,0.0
7,-141.27418016169128,77.93008470958975,101.0745484684922,26.08966424100223,19.59068683924381,0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0
8,-89.04376425936776,-95.45025984346788,220.24951279227156,24.511240151649663,19.582577866180404,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-79.78528662789307,-63.67304718605296,133.4262601325146,25.126887332554254,19.481985241794757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-104.4300249039094,-150.59883619519738,45.92224651296141,25.74040243209447,19.43129131952007,0,4.0,0.0,17.0,0.0,0.0,0.0,4.0,4.0,0.0
11,-208.44283916312415,-128.87037801578262,150.25886063886327,26.070154846226696,19.42288659490717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-60.460300837302704,49.60477623744576,148.9477634225524,23.043304737423032,19.348812233367404,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-94.13470201251806,-73.64342934510319,105.61672225725476,25.92190836058981,19.33053009916689,0,4.0,0.0,31.0,0.0,0.0,0.0,4.0,4.0,0.0
14,-225.0627520640288,17.24855631407466,176.73818977489512,25.512613841465832,19.250772278537507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-252.3337270577261,-25.19931742327108,195.67252922623368,23.674520532046778,19.218615689279616,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-261.1747473875276,-47.90044451162529,93.1700740400533,25.79334309166446,19.08383212663025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-228.385074000911,27.321167347100182,144.7504866583945,25.91864931692613,19.07650140670996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-78.34772564317966,82.91787394622867,21.045258100319355,25.321927864734526,18.96935839638235,0,251.0,19.0,539.0,0.0,0.0,0.0,246.0,246.0,0.0
19,-82.32338060322466,95.03144427095027,133.50486208859283,24.505713677921257,18.936478864982977,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-203.41349243019135,-163.8964585424709,175.9410665138221,24.25065127498952,18.87473661936337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-91.9881259339831,-143.92723164913218,219.7093791707218,25.62356761704572,18.824988934766992,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-104.83230468785985,-144.16075669443026,189.31359325140448,24.440421057390772,18.6716705658166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-218.92204607257776,59.94779186376224,144.95689135723364,25.555454710945508,18.437860431763088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-195.56044087293145,-144.32301061026956,196.65929981460764,25.25199642307888,18.363992352119784,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-165.8637504517758,24.408763694252485,32.24215457187534,24.748318278990077,18.31472698265857,0,22.0,1.0,66.0,0.0,0.0,0.0,22.0,22.0,0.0
26,-142.6857530441663,49.851526819300574,190.2988845688077,23.64380020928636,18.291300079012707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-222.1048488157049,184.3062919655334,131.60627880800743,23.05752144415672,18.265773941661596,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-164.74548384031016,-237.98311877527664,128.3213458550685,24.44844602962346,18.234962120246102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-151.3751525054878,-104.16182583261428,212.86513875989343,24.597945972884848,17.949447704728055,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-105.86860216295877,-279.23530468776846,116.44829739334747,21.787968834823896,17.93368016318374,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-216.98486630288176,206.78496597509155,41.00463223760915,23.572830303316294,17.91330510023414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-104.61292337768522,-13.32927672468878,41.31146853319539,24.116605024001363,17.806939318013278,0,333.0,16.0,674.0,0.0,1.0,0.0,328.0,328.0,0.0
33,-129.2974067465955,173.02822984935773,237.33457431999256,21.99102797786764,17.79268422787901,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-253.29220194208096,-113.81590610365592,17.768616231634706,23.36656294875389,17.77039547745711,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-229.28632709761771,-206.82759247296627,18.3632495736868,23.5638377867586,17.711789627472047,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-128.62940012251906,-201.78013317656695,213.4472987669044,21.750355705631723,17.642633599001734,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-161.44335037902158,95.91503081307508,221.1783734272427,24.1587741506486,17.623436388295048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-243.93923753233915,103.53175550830036,157.03459357861925,24.02785131880325,17.50921824742858,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-260.0825138479564,2.311403111816189,183.7290423949682,21.95282580028243,17.49599183988607,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-193.2191857911152,118.33149697089412,227.7125408379532,21.85908868688092,17.45238679130916,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-95.37965489358528,78.07265689343643,269.159171084525,21.404360380046736,17.405284518037714,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-106.25972934428464,128.18542249351162,188.71606448556747,22.874239488233115,17.381533922019937,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-243.98307071810757,203.93740056649855,7.937171578658668,21.12739091957289,17.347031221456426,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-85.85820109166849,-186.80936950293537,158.97957013183375,23.448165407681376,17.27904816489136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-156.34112034074025,-91.60963908272116,-1.535691593218448,22.357108077836592,17.11057105737253,1,2.0,0.0,26.0,0.0,0.0,0.0,2.0,2.0,0.0
46,-171.90740145336073,-126.1532529401354,30.92693860893242,23.26649281910955,17.076992123295014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-221.30030806963717,56.32938381525113,109.94244078036432,22.77812190795313,17.060497484569062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-183.0601750946105,71.84880494964459,79.77539895253537,22.319565787733893,16.99327998343362,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-116.70374128809485,-152.15883760654106,228.47020859075164,23.03320666186048,16.981936482493957,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-235.13147693730227,-121.65983925300144,36.61221423817843,22.76824531473775,16.922790524425114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-63.79072092926041,-178.56788496078485,176.79321264874037,21.96125676827094,16.863872174145552,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-239.33746870262965,-29.31959162258395,97.95268487784708,22.964182651471635,16.815873173568903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-133.83517358177025,-36.456482817386565,62.11166548506846,22.99297073297514,16.789948192191584,0,67.0,1.0,128.0,0.0,0.0,0.0,67.0,67.0,0.0
54,-283.9561206882957,-64.9487574865904,71.21821288972241,23.033963650919844,16.739731806794264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-33.392424353117384,-106.27526558809444,81.46905833611724,21.38326083168281,16.72012389966206,1,9.0,0.0,33.0,0.0,0.0,0.0,9.0,9.0,0.0
56,-109.73431177490374,123.1946204172497,148.04147216839823,22.159796213930075,16.698391222648606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-263.136973222051,-161.30632704734398,86.9461269699122,20.405171387346524,16.695572494178393,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-88.65067322797702,67.11145282286277,214.751686567432,22.45499713939743,16.685305880320023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-62.107597367231925,-177.07533074527362,70.57140398726011,20.969541343323797,16.640862242775203,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-250.35928072809983,112.06481636835962,29.3438798691032,21.70881078846465,16.6279345050481,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,-139.7976145054266,102.04147750566236,48.02176302506664,22.868444987533064,16.601125101327753,0,5.0,0.0,24.0,0.0,0.0,0.0,5.0,5.0,0.0
62,-225.26493503836923,-200.91122529609407,58.37885960306247,21.989050623577764,16.59955434682779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-180.78398310346097,-241.4572375139921,9.906271870622984,22.92628205375348,16.554712127918666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-216.47297927722855,-3.532044345318778,139.1171889965016,22.41147204769836,16.50935210096525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-298.30299422424065,100.54006807804544,63.21892642518047,21.21975806217756,16.4675202438758,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,-107.37055115888344,160.0991982338018,184.8910727270208,22.787146482230224,16.441356448932854,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-236.9627722019825,-0.5358228401231373,202.56867784031508,21.94859369099167,16.394206760252217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,-154.3974086206977,61.5917259995249,219.1236244758102,21.83757503329436,16.363357672806448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,-195.89313708889964,-112.36857291450318,131.8130624895684,21.689822881165483,16.363108677973763,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-243.6255693154128,45.80734448455181,131.62552013672183,21.533494944553727,16.32645826285422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-165.4035949576183,92.6883454821609,195.37337914621492,22.280136661232092,16.32636418350856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-105.46584058028188,-92.86226048409394,254.05440772136703,21.13026526553387,16.304443850322077,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-207.88755071745027,-56.81211336908076,168.20666439099762,21.825231976312864,16.225147569201788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,-215.36048112165585,-94.85243548257692,207.3049978177685,21.49732486860384,16.169354129146836,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-289.2047941215308,-116.32008210885762,30.332815749356502,22.13489999359784,16.13173159570945,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,-122.6380171815112,-175.2879204417936,82.95233533761967,21.280963820236032,16.09698562944741,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-151.17395537716214,-222.46428535689765,146.35097391629324,20.94299104752715,16.079232057402578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-81.89429331367121,31.05056949140464,153.79630903900272,21.333562466579163,16.038505078716295,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-215.89027984005708,149.54354304857628,83.07181400125457,21.34250129524085,16.012124115708822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-144.80109587629028,-86.68198835465859,170.90835380632876,21.795402998705843,16.00424347879827,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-163.6354982578865,25.111395629339277,177.22486090681272,21.75650816500625,15.999532144023537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-130.68166063201207,84.58868448298765,212.50170853813256,21.260003645245817,15.988724030111712,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,-141.8941549249727,-231.4458421470497,116.82656796945336,21.095297370779072,15.929098868433895,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,-249.4125126281727,-76.9569654250331,111.22990267970592,22.10090237403993,15.91789916877832,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,-126.43486716876136,-39.21747261139045,168.05051572732353,22.367505102171613,15.876666756040034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,-107.82231495284586,205.257126479928,198.2055276460289,21.006939421294653,15.785748525993668,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-194.731535697896,199.20989752794495,119.71472581620868,20.90231039924813,15.78387195956008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,-168.7862481630268,170.7740488667163,6.12666797328038,20.58739370575342,15.762346688327336,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-142.26692051708596,118.2178354259636,187.24705871868684,20.854182004429745,15.750782120442445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-58.86704054006617,68.50043631353876,59.4178356520082,21.45114938783753,15.724440115021912,0,105.0,2.0,204.0,0.0,0.0,0.0,105.0,105.0,0.0
96,-251.2025838693316,4.824185422128541,118.2651376232723,20.36557724343675,15.712652557986422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,-198.3616530460856,8.78492237474129,199.554086855414,21.06228116665994,15.687994790787526,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-238.75873202859935,177.71815887269557,109.12674445912894,20.524509111763187,15.652362558680762,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,-133.61849738184645,71.44039910997225,248.0433920028312,21.001621199458462,15.635540191580256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,-75.3318036117119,50.87375988111639,172.84963913983884,21.123084900465248,15.627050774785037,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,-115.08361081700428,2.2465841165176093,241.9012414936708,20.544136507187403,15.626699536121055,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,-205.54637000677505,-88.77981815591646,161.64975583400977,21.197459114655345,15.599960215353416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,-135.72737779200332,-37.24817108090339,104.13280507521053,20.391645053155514,15.590109915394656,0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0
109,-247.99648019637303,127.81969296622005,143.9705784748952,21.04705631197148,15.56749281871929,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,-170.352538617893,210.40659184469024,116.52289951621052,21.234188986730636,15.533607412299752,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,-161.44673658987998,124.87342949210088,208.1188175517616,20.50277525656042,15.532586196828817,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,-153.52361299171244,-148.83811762954107,198.00847721322316,21.43863858135155,15.505498682477244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,-226.16377187133585,139.69425784629897,52.24722880606086,21.348493415125365,15.502906682357589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,-114.24031846606393,-243.65455964076548,166.60086570301607,20.96306675451711,15.476424697791726,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,-244.96741500578383,69.06205870652904,137.3032679711954,20.46176765823179,15.379468620066747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-118.47470852425366,-209.13929661478613,47.77471981923966,20.45317917051204,15.344154277830716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,-62.08468327622566,-84.84796247771119,102.59570422096556,21.31616445791436,15.28466174037637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,-199.54503971120627,108.26749155898392,187.41169139036248,20.422291513628725,15.27463663560918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-301.1047194842072,47.36296791323475,65.88329077206257,20.83207015539289,15.227049090502549,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,-254.41957047705117,-0.477037555032654,74.9065910997118,20.82377371441888,15.152649676751734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,-194.9686966395102,-50.08665207243282,211.88576680201305,20.787518773142736,15.103082321615494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,-162.76790496708333,186.44810776300028,105.18124883844412,21.184033782566114,15.084611279071524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,-117.73413054157018,171.1139045783593,214.21613166178724,20.43579369753645,15.05391493965959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,-115.41613946331856,-70.95173903189928,28.29379527827896,20.47497019147001,15.041206765246818,0,80.0,0.0,201.0,0.0,0.0,0.0,80.0,80.0,0.0
145,-212.22263592405747,-217.3429763680832,33.353658043737106,20.4159879099863,14.93667706121333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,-139.0044801315712,-198.96848709484868,176.76565376321386,20.394347869298095,14.67248341977795,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
