label,mass_bin,R_mpc,n_slices_used,slope_bx_per_dn4000,slope_bx_err,intercept_ax,intercept_ax_err,chi2,dof,chi2_pvalue
FULL,9.5-9.8,0.0605763829314294,5,-42.14203005575818,23.02384344261152,113.17610717106312,75.96453926838566,3.8048944716061652,3,0.283317334679198
FULL,9.5-9.8,0.0889139705019461,5,3.2923914077166336,16.032326077347864,-18.80127389269839,53.6495116416048,1.7019593386374694,3,0.6364982776832093
FULL,9.5-9.8,0.1305078607841268,5,9.58664621791277,10.646495578665682,-36.36815079453145,35.513258446107734,7.791237337271495,3,0.050529102160223334
FULL,9.5-9.8,0.1915593424778643,5,-10.429811242051128,7.2051901314235565,27.469849602001,24.09227882660801,0.7979123776401147,3,0.8499662997413471
FULL,9.5-9.8,0.2811706625951745,5,2.289292038549446,5.054538767844964,-11.344892744469698,16.930750249381763,1.9915292272887535,3,0.5741667053796138
FULL,9.5-9.8,0.4127020926340091,5,-0.5673031246938686,3.433553186814431,6.2014050946718475,11.44999494654908,6.10732685260932,3,0.10650370839949122
FULL,9.5-9.8,0.6057638293142941,5,-2.494529678102568,2.324592834382735,8.053266998840861,7.744748396433165,2.399555058265631,3,0.49371745385028587
FULL,9.5-9.8,0.8891397050194609,5,-0.3845740123205231,1.582711449102392,0.8740824319045699,5.282002986520621,2.660630413032838,3,0.44695925566818306
FULL,9.5-9.8,1.3050786078412682,5,0.9039729521573595,1.0845169174096545,-1.291018398759631,3.6052680153314287,3.3054627491507143,3,0.34688305517528895
FULL,9.5-9.8,1.9155934247786437,5,0.459743960829501,0.7462210948121571,-2.4099239138696325,2.4823957675920223,8.272253089335791,3,0.04070772316004635
FULL,9.5-9.8,2.8117066259517443,5,0.8215431550396801,0.5115757280806724,-2.2804350948819985,1.7017098578028877,4.9620499992638845,3,0.1745972151187849
FULL,9.5-9.8,4.127020926340092,5,1.0252859219855537,0.35437276270026485,-3.8396953989622378,1.1832608061004155,6.390834970061621,3,0.09406856382429307
FULL,9.8-10.1,0.0605763829314294,5,5.035765266329639,16.26263309267949,-5.769644533677259,54.06774914666495,0.9375441371633211,3,0.81635937693416
FULL,9.8-10.1,0.0889139705019461,5,0.2864241034289068,11.12469999447718,-11.294973719891798,36.68391615359371,1.737757216396179,3,0.6285723830819343
FULL,9.8-10.1,0.1305078607841268,5,12.775130708673107,7.543803670715198,-41.0347271863485,25.173220871249782,5.210730588416313,3,0.15700096661663332
FULL,9.8-10.1,0.1915593424778643,5,-1.9786114827850632,5.113554013986202,9.036572905228532,17.075158753153044,4.66771948521706,3,0.19780915848116123
FULL,9.8-10.1,0.2811706625951745,5,1.2006534096392756,3.4948032547007597,0.6509674269937675,11.613408135807049,1.5354753756279764,3,0.6741071649501416
FULL,9.8-10.1,0.4127020926340091,5,3.408191707775305,2.3788983527693492,-16.76927588421189,7.9138488619366,0.8032579224973817,3,0.8486876236130967
FULL,9.8-10.1,0.6057638293142941,5,4.233941104684244,1.6351619736957754,-17.2345288973211,5.426489692534454,5.258720638358951,3,0.15380348495277685
FULL,9.8-10.1,0.8891397050194609,5,1.9836955601436626,1.110945870878561,-5.242883143056635,3.694039726436256,2.5962406393255435,3,0.45814899257074193
FULL,9.8-10.1,1.3050786078412682,5,-2.274096133935052,0.7589726997195186,6.980119505802922,2.520293988072258,1.0598866399174538,3,0.7867653477946195
FULL,9.8-10.1,1.9155934247786437,5,-0.10888473310179175,0.5206627263784538,-0.3372900146819628,1.7291609210742145,1.4257166564309935,3,0.6995178304708186
FULL,9.8-10.1,2.8117066259517443,5,0.024274899433733475,0.35864411635879145,-0.38061629234105354,1.1927800902398649,0.17334912997621393,3,0.9817724591886211
FULL,9.8-10.1,4.127020926340092,5,0.2504109384114796,0.24640219589079757,-0.6268386317623956,0.8187561474283724,2.3339992922363755,3,0.5060388538405576
FULL,10.1-10.4,0.0605763829314294,5,8.992040300791485,12.65699492382326,-30.14387048844458,41.87360161239141,6.368902099496387,3,0.0949785650910982
FULL,10.1-10.4,0.0889139705019461,5,7.80616536511186,8.512238568257011,-31.23734634820059,28.598272028561983,2.3235177031126066,3,0.5080305171346691
FULL,10.1-10.4,0.1305078607841268,5,-3.9088904213273588,5.767805891911155,19.084699990799237,19.36995711405744,1.1920950035805704,3,0.7549008741374487
FULL,10.1-10.4,0.1915593424778643,5,4.395874176098419,3.912020118641407,-7.194605234233699,13.017469070540784,2.738374775073492,3,0.4337452455126939
FULL,10.1-10.4,0.2811706625951745,5,-1.9524313636380293,2.6812690506198877,5.0676954486893795,8.9556922285726,5.3458053100967025,3,0.14815761607931244
FULL,10.1-10.4,0.4127020926340091,5,-1.2778338441834771,1.813130854500088,-0.2785810989793684,6.0594068453155865,3.0025619503511827,3,0.3912303425597162
FULL,10.1-10.4,0.6057638293142941,5,0.2373280293495713,1.2422076234890909,-1.8717098347394734,4.161915880006463,2.358791975864297,3,0.50135157497128
FULL,10.1-10.4,0.8891397050194609,5,0.8475111138303054,0.8493191397965231,-1.6045016590689476,2.8524411149520272,0.7815016774856833,3,0.8538862779659768
FULL,10.1-10.4,1.3050786078412682,5,0.42388837347988323,0.5820610121906202,-1.0940343228736853,1.9520531267256886,1.3369497986536085,3,0.7203782377042651
FULL,10.1-10.4,1.9155934247786437,5,0.30589857889199956,0.3986801819050708,-1.849592422567889,1.3339346320423755,8.865746543166747,3,0.03113015279092688
FULL,10.1-10.4,2.8117066259517443,5,0.6694397484709539,0.27414119934350184,-2.744415949978496,0.9199954124295235,1.7458203275887698,3,0.6267953901870593
FULL,10.1-10.4,4.127020926340092,5,-0.3945292090402644,0.18821984158967286,0.7878466866728109,0.6324332262599741,0.42353287060731526,3,0.9353393801119663
FULL,10.4-10.7,0.0605763829314294,5,24.36319505643068,11.337472621949555,-58.546918376359315,38.07951544679819,1.277988738375146,3,0.7343663856844911
FULL,10.4-10.7,0.0889139705019461,5,1.6491885293478479,7.554937769200098,-32.462151262028726,25.151609627780847,3.726671606904625,3,0.29253143762727524
FULL,10.4-10.7,0.1305078607841268,5,7.890309672968107,5.22148019693243,-11.884741542001956,17.408314710668485,1.672128752126628,3,0.6431478842070759
FULL,10.4-10.7,0.1915593424778643,5,7.293740543790534,3.4774387120154033,-20.007001678461684,11.60740019319349,7.048677133979041,3,0.07036234436166285
FULL,10.4-10.7,0.2811706625951745,5,2.236445901207031,2.38532744550517,-1.8487934812754476,7.967013541887167,3.5374149905174708,3,0.31594184502721445
FULL,10.4-10.7,0.4127020926340091,5,-0.6799368671727921,1.6242784977372866,1.8702353563845306,5.443678345708377,2.3982615049573273,3,0.49395832506567616
FULL,10.4-10.7,0.6057638293142941,5,1.4336737704233444,1.1172239777043569,-2.1511190470218984,3.7423904785565876,2.9587459789639867,3,0.39802956712493565
FULL,10.4-10.7,0.8891397050194609,5,0.4822943038789709,0.7641150757861822,-2.573158846090934,2.5560828459233194,1.5803142192203459,3,0.6638616298247237
FULL,10.4-10.7,1.3050786078412682,5,0.2389104353487485,0.5230708422064068,-2.7488962273363913,1.753055446615426,3.578110127617487,3,0.3107719059339625
FULL,10.4-10.7,1.9155934247786437,5,0.8968793690983593,0.3581383501546025,-2.987086528862381,1.1959908819981149,8.245849662561849,3,0.04119481131652746
FULL,10.4-10.7,2.8117066259517443,5,0.20683069425394734,0.24537301260353184,-0.6458116385533856,0.8183366348798367,2.4421075727382457,3,0.48584444493243184
FULL,10.4-10.7,4.127020926340092,5,-0.20182122154854581,0.1687498128830694,0.9689232038212656,0.5615769772048765,0.8220795553099374,3,0.8441789313208471
FULL,10.7-11.0,0.0605763829314294,5,11.77852000182475,12.89940352995294,-65.21004619089764,43.30802625401528,2.047800599198318,3,0.5625450178862581
FULL,10.7-11.0,0.0889139705019461,5,13.715486220477176,8.644482851518628,-29.327975237735973,28.859064204078066,3.4542057383669142,3,0.3267502318785686
FULL,10.7-11.0,0.1305078607841268,5,4.85962410399521,5.892605472452167,-7.603423707247344,19.756151991270176,2.03938745490415,3,0.5642720676088553
FULL,10.7-11.0,0.1915593424778643,5,-0.9309107062764483,3.9731816433639513,5.408667634093854,13.354704486386227,2.418033663060615,3,0.4902864907094032
FULL,10.7-11.0,0.2811706625951745,5,-1.7419041879134052,2.728472533085352,3.4038133584781,9.096758726537582,2.267193316437473,3,0.5188349138751269
FULL,10.7-11.0,0.4127020926340091,5,4.04259203006299,1.8630171100150572,-11.217581983385772,6.218333660799593,1.8960874521985231,3,0.5942516469364849
FULL,10.7-11.0,0.6057638293142941,5,-0.5542697151449314,1.2681242743997827,2.603293269310698,4.24387982171875,0.5376785411641442,3,0.9105389624079501
FULL,10.7-11.0,0.8891397050194609,5,0.3075697941951258,0.8685568688801233,-2.496812153907688,2.907482022303139,1.853726889087832,3,0.6033137272158684
FULL,10.7-11.0,1.3050786078412682,5,-0.5385223239954133,0.5928538144240437,1.3549601339284603,1.9803410058189397,0.7872106674539131,3,0.8525235638395365
FULL,10.7-11.0,1.9155934247786437,5,0.7521911190216464,0.4063142201174696,-3.103026236551273,1.3549280703416,1.6781005077998914,3,0.6418134789216159
FULL,10.7-11.0,2.8117066259517443,5,0.23668827815306268,0.2777685660469497,-0.4862806830687482,0.9239527583628236,10.114317924300389,3,0.01761897292810461
FULL,10.7-11.0,4.127020926340092,5,-0.07850812713774186,0.19093767726235472,-0.014991576333225719,0.634318395512473,4.479115575901131,3,0.21416071220312785
FULL,11.0-11.3,0.0605763829314294,5,-30.876491005115987,24.032140817372635,50.48761090234347,78.26134197838529,7.285602938383325,3,0.063330831047543
FULL,11.0-11.3,0.0889139705019461,5,-3.163751327534618,16.520449707890776,-34.55705884346011,54.821308959442675,1.212126050721409,3,0.7500974772340838
FULL,11.0-11.3,0.1305078607841268,5,-16.43894582495125,11.138938209038102,46.966809287360135,37.30813039570357,0.20951200496127662,3,0.9760393220211709
FULL,11.0-11.3,0.1915593424778643,5,-8.95555332625026,7.476357335423902,33.30520055580306,25.085300129493,2.947426979793444,3,0.39980213027232825
FULL,11.0-11.3,0.2811706625951745,5,-7.150997883145541,5.105059195730439,27.090944363382402,17.040705258731474,1.874672706030509,3,0.5988216517945606
FULL,11.0-11.3,0.4127020926340091,5,1.31420272325583,3.471710119825269,2.5706264562831462,11.479115178321893,5.860648357096796,3,0.11859035594405738
FULL,11.0-11.3,0.6057638293142941,5,-1.6739568330423604,2.365159247153705,4.780860294836252,7.86663542756095,2.492403227538813,3,0.47666555481726935
FULL,11.0-11.3,0.8891397050194609,5,3.164305149657495,1.6006648362183382,-11.534752076260967,5.3113146828179305,3.5525148431255302,3,0.31401472057854696
FULL,11.0-11.3,1.3050786078412682,5,0.5906420857032477,1.0966864952514168,1.4041165306255665,3.647686257100829,1.116236480274136,3,0.77315604910166
FULL,11.0-11.3,1.9155934247786437,5,-0.6819426118247405,0.7555248018702003,2.4426131676016425,2.5120473272563872,0.5383583515632785,3,0.9103869541372073
FULL,11.0-11.3,2.8117066259517443,5,0.19200339884550388,0.5098211139129794,-0.4873333370337826,1.6922630985436418,5.669918791437585,3,0.12882153106322736
FULL,11.0-11.3,4.127020926340092,5,-0.10697790843968415,0.35367962905064854,-0.006104840293854628,1.1730263835952928,4.476407692447146,3,0.2144043456738579
