scale_Vdisk,ML_factor,ML,g98,beta,Hermes_chi2nu,Hermes_outer_chi2nu,Hermes_outer_mean_residual,MOND_chi2nu,MOND_outer_chi2nu,MOND_outer_mean_residual
2.75,7.5625,5.162516677914169,19632.07902595243,-0.14738381907395248,4.042141674321128,1.0170492725209703,-17.99450585738545,13.625655997345579,7.848957565491379,58.36048484400762
2.775,7.700625,5.256807271783511,19989.42822021824,-0.15868315199313132,4.100231711610473,0.9824733736447908,-17.407550851840682,14.029048587025272,8.097209944344637,59.288958558189655
2.8000000000000003,7.840000000000002,5.3519511741946575,20350.01134384393,-0.16957036560728,4.161417514503031,0.949198981380116,-16.81504435617223,14.438349262398953,8.349082220993749,60.2163576098948
2.825,7.980625000000001,5.4479483851476065,20713.828396829478,-0.18005528584035296,4.2258008717129,0.9172668532952158,-16.216930717850264,14.853559442726404,8.604565439459165,61.1426951073888
2.85,8.1225,5.54479890464236,21080.87937917491,-0.19014778177178496,4.2934824331079975,0.8867194056767393,-15.613165267495127,15.274680633695656,8.863650871155563,62.0679841641531
2.875,8.265625,5.642502732678917,21451.164290880206,-0.1998577476288362,4.285853635801986,0.8496879569892332,-15.002415229644194,15.70171442422476,9.126330011286099,62.992237887637984
2.9000000000000004,8.410000000000002,5.741059869257279,21824.68313194538,-0.20919508555446364,4.355400759604326,0.8214852068659996,-14.385627191279506,16.13466248333832,9.392594575210975,63.915469368877176
2.9250000000000003,8.555625000000001,5.840470314377445,22201.435902370427,-0.2181696891569455,4.428550687657104,0.7948101689822151,-13.763000145047338,16.5735265571195,9.66243649479932,64.83769167290568
2.95,8.7025,5.940734068039413,22581.42260215534,-0.2267914278449852,4.505399084053547,0.7697120042431996,-13.134539553924297,17.01830846573788,9.935847914772337,65.75891782992635
2.975,8.850625,6.041851130243187,22964.64323130012,-0.2350701319496098,4.586039781749434,0.7462406558439338,-12.500259684302993,17.46901010055304,10.212821189044975,66.6791608271745
3.0,9.0,6.143821500988764,23351.09778980478,-0.2430155786318842,4.670564682617323,0.7244467068990106,-11.860183233702262,17.925633421293952,10.49334887707272,67.5984336014334
3.0250000000000004,9.150625000000002,6.246645180276147,23740.78627766931,-0.25063747857327345,4.749327806663754,0.6945527959773267,-11.018145104666562,18.38818045331364,10.77742374020918,68.51674903215665
3.0500000000000003,9.302500000000002,6.350322168105332,24133.708694893707,-0.25794546344341973,4.8415854847074415,0.6764646455004969,-10.358857672497194,18.856653284918615,11.06503873807987,69.43411993515637
3.075,9.455625000000001,6.454852464476321,24529.865041477977,-0.26494907413814184,4.938004711492823,0.6602635831168788,-9.69402442525877,19.331054064772427,11.35618702497679,70.35055905681916
3.1,9.610000000000001,6.560236069389114,24929.255317422125,-0.2716577497786302,5.038668680492685,0.6460007247287072,-9.02369794977225,19.81138499937239,11.650861946277915,71.26607906881378
3.125,9.765625,6.66647298284371,25331.879522726136,-0.27808081746109314,5.1435976527241225,0.6337107821921539,-8.348085678010584,20.297648350598593,11.949057034895382,72.18069256325795
3.1500000000000004,9.922500000000003,6.773563204840113,25737.737657390026,-0.28422748274451565,5.241225571017005,0.6151085082020867,-7.454171094228006,20.789846433334144,12.25076600775556,73.09441204831245
3.1750000000000003,10.080625000000001,6.881506735378318,26146.82972141379,-0.2901068208627051,5.354617761817926,0.607333023076701,-6.762463067321886,21.28798161315542,12.555982762313956,74.00724994417426
3.2,10.240000000000002,6.990303574458328,26559.155714797405,-0.2957277686454491,5.47255556068609,0.6017363043747956,-6.065690170436357,21.79205630409121,12.864701373107463,74.91921857944129
3.225,10.400625,7.099953722080141,26974.715637540914,-0.30109911713236165,5.5951093299962436,0.5983668681244775,-5.363927742910953,22.30207296644941,13.176916088346141,75.83033018782396
3.25,10.5625,7.210457178243757,27393.509489644282,-0.3062295048618684,5.722346782060438,0.5972726553772927,-4.657255338648513,22.81803410470988,13.492621326546454,76.74059690517925
3.2750000000000004,10.725625000000003,7.321813942949181,27815.53727110753,-0.3111274118167777,5.812669648301231,0.5900564605354317,-3.80715032921712,23.339942265482332,13.811811673207625,77.65003076684629
3.3000000000000003,10.890000000000002,7.434024016196405,28240.79898193065,-0.3158011540069757,5.947650863182722,0.5937910289364429,-3.0886558237065374,23.867800035527434,14.134481877532506,78.55864370526217
3.325,11.055625000000001,7.547087397985434,28669.29462211364,-0.32025887866900227,6.087477574553979,0.5999554987632829,-2.3655968424967546,24.401610039840243,14.460626849194163,79.4664475478392
3.35,11.2225,7.661004088316268,29101.024191656496,-0.3245085600615798,6.2322069726409595,0.6085940622722683,-1.6380628770750307,24.941374939794017,14.790241655149096,80.3734540150854
3.375,11.390625,7.775774087188905,29535.98769055922,-0.3285579958355878,6.381893461432631,0.6197499905323226,-0.9061459301006788,25.487097431343308,15.123321516497993,81.27967471895201
3.4000000000000004,11.560000000000002,7.891397394603348,29974.18511882183,-0.3324148039564999,6.53658865443338,0.6334655781034615,-0.16994018743109507,26.038780243284737,15.45986180539459,82.18512116139179
3.4250000000000003,11.730625000000002,8.007874010559593,30415.616476444306,-0.3360864201569176,6.64130089389707,0.6411536250706218,0.6716732468952907,26.596426135574013,15.799858042003065,83.08980473311358
3.45,11.902500000000002,8.125203935057641,30860.281763426643,-0.33958009589654836,6.804018712424485,0.6601141625711331,1.4165900184757474,27.160037897697784,16.143305891504536,83.99373671252035
3.475,12.075625,8.243387168097494,31308.180979768866,-0.3429028968067739,6.971854015288459,0.6817560349067429,2.1654472651951573,27.729618347098835,16.49020116115257,84.8969282648163
3.5,12.25,8.36242370967915,31759.314125470955,-0.34606170159684213,7.144847739936466,0.7061167486327222,2.9181482285139344,28.305170327653276,16.84053979737813,85.7993904412728
3.5250000000000004,12.425625000000002,8.482313559802613,32213.68120053292,-0.34906320139868235,7.323038106087487,0.7332326717199243,3.6745952986476462,28.886696708198222,17.194317882943757,86.70113417864096
3.5500000000000003,12.602500000000003,8.603056718467878,32671.282204954747,-0.35191389952738245,7.248033326018604,0.7124136269039151,3.8237013324000086,29.474200381108595,17.551531634147004,87.60217029870044
3.575,12.780625,8.724653185674947,33132.11713873645,-0.3546201116344866,7.428887223424198,0.7419459889521954,4.578298677781929,30.067684260921784,17.912177398073013,88.50250950793546
3.6,12.96,8.84710296142382,33596.18600187803,-0.35718796623144705,7.61497699799854,0.7742698295335684,5.336536171847867,30.667151283008586,18.27625164989589,89.40216239732806
3.625,13.140625,8.970406045714498,34063.48879437948,-0.35962340556081324,7.806331408564885,0.8094183578536277,6.098309710275203,31.272604402289325,18.643750990228746,90.30113944226042
3.6500000000000004,13.322500000000003,9.09456243854698,34534.025516240785,-0.3619321867930412,8.002973965097425,0.8474216530209812,6.8634059970881305,31.884046591993712,19.014672142521864,91.1994510025186
3.6750000000000003,13.505625000000002,9.219572139921265,35007.79616746199,-0.36411988352716435,7.874456249461808,0.7922913156723175,6.452102883058007,32.501480842463046,19.38901195050876,92.09710732238925
3.7,13.690000000000001,9.345435149837353,35484.800748043046,-0.366191887573972,8.072080417495478,0.8303835020540055,7.209776664311125,33.124910159993945,19.76676737569967,92.99411853084364
3.725,13.875625000000001,9.472151468295246,35965.03925798397,-0.3681534110007959,8.274980506165614,0.871318893671943,7.970870248933284,33.7543375657217,20.14793549492185,93.89049464180134
3.75,14.0625,9.599721095294944,36448.511697284775,-0.37000948841749465,8.48317448515624,0.9151268704842406,8.735272619154049,34.389766094542715,20.53251349790636,94.78624555446797
3.7750000000000004,14.250625000000003,9.728144030836447,36935.21806594545,-0.3717649794837563,8.69667804419318,0.9618354955470632,9.502874078843123,35.03119879407438,20.920498684920634,95.68138105374128
3.8000000000000003,14.440000000000001,9.857420274919752,37425.15836396601,-0.37342457161840337,8.898663862284202,1.008580598391427,10.31214172715312,35.678638723651396,21.311888464446316,96.57591081067997
3.825,14.630625000000002,9.98754982754486,37918.33259134642,-0.37499278289197113,9.122055425652201,1.0610658732530283,11.084302884565465,36.33208895335759,21.706680350901834,97.46984438303083
3.85,14.822500000000002,10.118532688711772,38414.740748086704,-0.3764739650844488,9.350774740747022,1.116516544465661,11.859336440854598,36.99155256309175,22.104871962408932,98.36319121580853
3.875,15.015625,10.250368858420488,38914.38283418688,-0.3778723068907077,9.584829376272037,1.174955563132527,12.637140845714326,37.657032641666795,22.506461018602685,99.2559606419247
3.9000000000000004,15.210000000000003,10.383058336671013,39417.258849646925,-0.37919183725679506,9.824225049673606,1.2364046889743383,13.417616396981577,38.328532285940994,22.911445338484306,100.14816188286169
3.9250000000000003,15.405625000000002,10.516601123463337,39923.368794466835,-0.3804364288309398,10.047009758131066,1.295889971538352,14.207528107582275,39.00605459998026,23.31982283831596,101.03980404938709
3.95,15.602500000000001,10.650997218797468,40432.7126686466,-0.38160980151379587,10.296180317499148,1.3631417712932516,14.99103943269648,39.689602694250716,23.73159152955721,101.93089614230587
3.975,15.800625,10.7862466226734,40945.29047218625,-0.38271552609313336,10.550681753617821,1.4334468869078822,15.776936388569137,40.379179684840295,24.146749516842053,102.82144705324644
4.0,16.0,10.922349335091136,41461.10220508576,-0.3837570279488805,10.810513454244376,1.506822654681219,16.56512850635529,41.074788692708644,24.56529499599619,103.71146556547744
4.025,16.200625000000002,11.059305356050679,41980.14786734516,-0.384737590815111,11.075673410214671,1.5832853859335623,17.355527446761624,41.776432842964276,24.987226252093656,104.60096035475271
4.050000000000001,16.402500000000007,11.197114685552027,42502.427458964434,-0.3856603605862638,11.322163275995246,1.6558731392361283,18.124960911630957,42.484115264168345,25.412541657552197,105.4899399901814
4.075,16.605625,11.335777323595172,43027.94097994357,-0.38652834915557077,11.597998769665317,1.7386411331943505,18.921347484267635,43.197839087663795,25.841239670266727,106.37841293512083
4.1,16.81,11.475293270180122,43556.68843028257,-0.38734443827435167,11.879161095670105,1.8245528888797582,19.71968756067517,43.91760744692952,26.273318831780124,107.26638754808957
4.125,17.015625,11.615662525306883,44088.66980998145,-0.38811138342151036,12.165643375922828,1.9136208913251498,20.519900928260398,44.643423476958304,26.70877776549083,108.15387208369864
4.15,17.222500000000004,11.756885088975446,44623.8851190402,-0.38883181767323344,12.457437776726515,2.005856771890222,21.321909732845754,45.375290313657906,27.14761517489624,109.04087469359864
4.175000000000001,17.430625000000006,11.89896096118581,45162.33435745883,-0.38950825556354635,12.729632789849253,2.093116628731122,22.093286426247044,46.113211093274785,27.58982984187175,109.92740342744108
4.2,17.64,12.041890141937978,45704.01752523733,-0.3901430969270238,13.032080530187228,2.1918134227811574,22.900530787646105,46.85718895183929,28.035420624984255,110.81346623385171
4.225,17.850624999999997,12.185672631231947,46248.93462237567,-0.3907386307155796,13.339823246127466,2.2937216054028267,23.709345673749525,47.60722702463201,28.484386457839832,111.6990709614148
4.25,18.0625,12.330308429067728,46797.08564887391,-0.39129703878187055,13.652849920260316,2.3988496600604594,24.51966209135465,48.363328445670234,28.9367263474647,112.5842253596661
4.275,18.275625,12.475797535445311,47348.47060473203,-0.39182039962244525,13.97114897367081,2.507205396429027,25.331413422363013,49.12549634721409,29.392439372718915,113.46893708009317
4.300000000000001,18.490000000000006,12.622139950364698,47903.08948995003,-0.3923106920743453,14.24241729234841,2.591963645687582,25.98172226287156,49.89373385929168,29.851524682742237,114.35321367714225
4.325,18.705625,12.769335673825886,48460.942304527875,-0.39276979895942293,14.57011434016518,2.7059554632640777,26.794940898612094,50.66804410924248,30.31398149543138,115.23706260922982
4.35,18.922499999999996,12.917384705828875,49022.02904846558,-0.3931995106711784,14.903038347618875,2.823186097659724,27.60942017873809,51.44843022127862,30.779809095948174,116.12049123975787
4.375,19.140625,13.066287046373674,49586.34972176318,-0.3936015286994387,15.241176169554747,2.9436610786503006,28.425102116765107,52.2348953160631,31.24900683525787,117.00350683813176
4.4,19.360000000000003,13.216042695460278,50153.90432442064,-0.39397746908869574,15.584514417589538,3.067385427565426,29.241930947824272,53.02744251030457,31.7215741286971,117.88611658077932
4.425000000000001,19.580625000000005,13.366651653088685,50724.69285643801,-0.39432886582639987,15.873203256981082,3.1602622145759955,29.86825497484463,53.82607491636829,32.19751045457088,118.76832755217134
4.45,19.802500000000002,13.518113919258889,51298.715317815215,-0.39465717415795837,16.225691490221315,3.2895109807925853,30.685894337628877,54.63079564190247,32.67681535277802,119.65014674584098
4.475,20.025624999999998,13.6704294939709,51875.97170855227,-0.39496377382562375,16.583330448440673,3.4220119786106107,31.50453646231875,55.44160778947956,33.15948842346448,120.53158106540259
4.5,20.25,13.82359837722472,52456.46202864921,-0.3952499722288678,16.946106285844316,3.557768551284575,32.324133488582795,56.258514456252,33.64552932570388,121.41263732556845
4.525,20.475625000000004,13.977620569020344,53040.186278106055,-0.3955170075042288,17.31400515541657,3.696783676272762,33.14463955790492,57.08151873362182,34.134937776204815,122.29332225316294
4.55,20.702499999999997,14.132496069357764,53627.144456922746,-0.39576605152298827,17.49072002219448,3.704967278390308,33.24508474583103,57.910623706923964,34.627713548044376,123.17364248813368
4.575,20.930625000000003,14.288224878236996,54217.33656509932,-0.3959982128053829,17.86503842678608,3.8468992105374724,34.062975894268455,58.74583245512255,35.12385646942737,124.05360458455881
4.6000000000000005,21.160000000000004,14.44480699565803,54810.76260263578,-0.3962145393503832,18.24441299177871,3.992065752265635,34.88167719521147,59.587148050519616,35.62336642247047,124.93321501164974
4.625,21.390625,14.602242421620863,55407.422569532064,-0.39641602138037846,18.628830191689154,4.140468774848695,35.701148722311295,60.434573558476146,36.12624334201112,125.81248015474914
4.65,21.622500000000002,14.760531156125507,56007.316465788266,-0.39660359400039386,19.018276664971836,4.292109892056424,36.52135234901758,61.288112037145,36.63248721444061,126.69140631632384
4.675,21.855625,14.91967319917195,56610.444291404296,-0.3967781397717319,19.185814999571193,4.2765942122413385,36.486566635220974,62.147766537214835,37.14209807656047,127.56999971695134
4.7,22.090000000000003,15.079668550760202,57216.80604638024,-0.3969404912001794,19.5810705736812,4.4304419501283165,37.303314148638144,63.01354010166543,37.65507601446223,128.448266496301
4.7250000000000005,22.325625000000006,15.240517210890255,57826.401730716054,-0.3970914331391483,19.981288184599954,4.587496310237559,38.12071299636199,63.885435765533266,38.17142116242962,129.32621271410764
4.75,22.5625,15.40221917956211,58439.2313444117,-0.3972317051083307,20.386455309611247,4.747758149794789,38.93873027967674,64.76345655568751,38.691133701863,130.20384435113942
4.775,22.800625000000004,15.564774456775773,59055.294887467244,-0.39736200352864126,20.796559693449353,4.911228155040531,39.75733468166914,65.64760549061606,39.21421386022559,131.08116731015775
4.8,23.04,15.728183042531233,59674.59235988264,-0.39748298387439557,21.00140963806366,4.906157313691421,39.762616831241196,66.53788558022069,39.74066191001062,131.95818741686986
4.825,23.280625,15.892444936828506,60297.12376165795,-0.39759526274383467,21.417699460464146,5.072089805178399,40.57835003832125,67.43429982562192,40.270478167729614,132.83491042087417
4.8500000000000005,23.522500000000004,16.05756013966758,60922.889092793106,-0.3976994198492478,21.83886857277822,5.241202548803319,41.39459958884781,68.33685121897253,40.803662992920785,133.71134199659713
4.875,23.765625,16.223528651048454,61551.88835328812,-0.39779599992807707,22.264905854528028,5.4134957212361785,42.211338916028474,69.24554274327966,41.34021678717748,134.58748774422224
4.9,24.010000000000005,16.390350470971136,62184.12154314303,-0.3978855145765006,22.695800506526524,5.58896939612542,43.02854280572545,70.16037737223549,41.88013999319615,135.46335319061112
4.925,24.255625,16.55802559943562,62819.58866235778,-0.3979684440070933,22.89204006194754,5.558499569006316,42.91601231458577,71.08135807005551,42.42343309384336,136.33894379021518
4.95,24.5025,16.72655403644191,63458.28971093243,-0.398045238732252,23.328610509188334,5.735817104699927,43.72979002932734,72.00848779132514,42.97009661124151,137.2142649259799
4.9750000000000005,24.750625000000007,16.89593578199001,64100.22468886696,-0.39811632117514895,23.769983077840827,5.916282933102212,44.543974890532645,72.94176948085317,43.520131105872935,138.08932191023916
5.0,25.0,17.0661708360799,64745.393596161346,-0.39818208721003995,24.21614823187386,6.09989682579073,45.35854571096929,73.88120607353295,44.07353717570185,138.96411998560197
