relative_path,bytes,sha256,description
00_final_board/README_final_board_package.md,557,10beeaed0dfdc55baeadab4f959bc034419fb7af6cf568da75acc1a0ef63e616,"Board-freeze package README from the bracketed-age final board package, renamed to avoid conflicting with the master README."
00_final_board/board_freeze_manifest.json,1705,5c1cf450ccbbcd46af1419a17f791675e528ff7ff3565ad673ece26c34c067d2,"Board-freeze package manifest from the bracketed-age final board package, renamed to board-level manifest."
00_final_board/corbelli_fig12_overlay_reconstruction.png,80325,8e26f4e492944cf6f4da4abbd3466b1c94d49206b777328688031dbcbebe6558,Published-figure overlay benchmark image comparing reconstructed components against Corbelli et al. Figure 12 top-panel source-native curves.
00_final_board/m33_age_bracketed_amber_lock.csv,348,f408e30b863e3896a454e649520373ee1799bf037a8f18a8d751b56e8e8e50b0,Machine-readable Amber bracketed t50 age lock: primary 6.0±1.2 Gyr and conservative 7.1±1.3 Gyr.
00_final_board/m33_age_bracketed_amber_lock_addendum.md,4132,b03fca58e3beb080e4a4d709ffb8ffb01165c158c235c2f5136201555986e634,Current controlling age-decision addendum: both age lanes are locked for sensitivity use and must be reported.
00_final_board/m33_age_conversion_memo_prelock.md,12883,53dc1b0a42ec746c8156f2762e7a5ea23a0676023fc66a58a8c5ee20400fdf0e,Age-conversion analysis memo that produced the candidate values; retained as provenance only. The controlling age document is the bracketed lock addendum.
00_final_board/m33_corbelli2014_table1_import.csv,1549,6dba81de462849123497a6e38207259b90d492b17b808e290af8392321986cfb,"Imported Corbelli 2014 Table 1 engineering table with R, Vobs, uncertainty, HI surface density, and stellar surface density."
00_final_board/m33_corbelli_age_anchor_audit.md,7946,0286e3d682e99e29d1a80d88a25e9a5ba46741f750a989e80b3c76c9e3e237f6,Initial age-source audit retained as provenance only. The controlling age decision is the bracketed lock addendum.
00_final_board/m33_corbelli_board_summary.json,1075,66f4ea8faa172085d0503dc3b3d2ee13f452d51ac8f904e9921f947b1c1a8f1a,"Compact JSON summary of source-native board status, age bracket, and reconstruction metadata."
00_final_board/m33_corbelli_engineering_memo.md,2708,a0da7e15bf197e185ddca8d114c9d0e2bf29437d352332b4c3f174ef74106f7c,Format B reconstruction engineering memo documenting source-native board construction from public profiles.
00_final_board/m33_corbelli_final_board_freeze_memo.md,7511,712d4e9236beb4b173214ebd49adc0c7b9f9f96fa8dac0b934b26af7ced15044,Current final board-freeze memo with bracketed Amber age update and no-run status at board freeze.
00_final_board/m33_corbelli_kernel_provenance_review.md,11087,d93ece4663c759079d88f1922a842b3156dd25862c4acbbdf2c2b6ef870d7580,"Kernel/provenance review explaining annular quadrature thick-disk kernel, Casertano-equivalence target, and SPARC non-equivalence."
00_final_board/m33_corbelli_kernel_specification.md,1771,b4609fb5a004ccf8f7fb629306c55a915dcff04ca38719d02053685edd5aeb74,Frozen provisional annular thick-disk kernel specification used to compute Vgas and Vdisk.
00_final_board/m33_corbelli_mass_closure_table.csv,433,3ab2348158ae636bf7682771a5d3cbd3766a1717e156e5440c88581ee5466a82,"Mass closure checks for stellar mass, H2 mass, HI profile, total gas, and total baryonic mass."
00_final_board/m33_corbelli_overlay_benchmark_report.md,4176,a58dac1c93911622600f54aecdd864764b4cd8dc420b8ce7968d60f11288cc66,Published-figure overlay benchmark report supporting provisional kernel freeze.
00_final_board/m33_corbelli_reconstructed_board.csv,15145,ecd29c4dec518008ea80952c6411bdb956d306312de78ed58d8fcb73a9cc089a,"Final reconstructed board CSV: R, Vobs, errV, Vgas, Vdisk, Vbul, Vbar and provenance fields."
00_final_board/m33_corbelli_reconstruction_kernel.py,4729,75c9ca0b0c6674283db3429144a50be688b975be8d335353ce32ed7ebf8740c1,Python implementation of the annular thick-disk reconstruction kernel.
00_final_board/m33_corbelli_remaining_limitations.md,2009,4cc23e9ae9b186f57905c6924b1656b20f6d855980b8f34c4f80ab6243ebcb56,Remaining limitations and caveats for the M33-Corbelli source-native reconstruction.
01_hermes_result_locked/corbelli_fig12_overlay_reconstruction.png,80325,8e26f4e492944cf6f4da4abbd3466b1c94d49206b777328688031dbcbebe6558,Overlay benchmark image carried in the locked Hermes package for traceability.
01_hermes_result_locked/m33_age_bracketed_amber_lock.csv,348,f408e30b863e3896a454e649520373ee1799bf037a8f18a8d751b56e8e8e50b0,Age bracket table carried in the locked Hermes execution package.
01_hermes_result_locked/m33_baryonic_components_vbar_context.png,121201,5451bec32022741656ab7defcad525f99cc89845f415511ab041706c46b86e99,Baryonic components / Vbar context plot from the Hermes execution.
01_hermes_result_locked/m33_corbelli_final_board_freeze_memo.md,7511,712d4e9236beb4b173214ebd49adc0c7b9f9f96fa8dac0b934b26af7ced15044,Board-freeze memo carried in the locked Hermes execution package.
01_hermes_result_locked/m33_corbelli_kernel_specification.md,1771,b4609fb5a004ccf8f7fb629306c55a915dcff04ca38719d02053685edd5aeb74,Kernel specification carried in the locked Hermes execution package.
01_hermes_result_locked/m33_corbelli_reconstructed_board_input.csv,15145,ecd29c4dec518008ea80952c6411bdb956d306312de78ed58d8fcb73a9cc089a,Exact reconstructed board input used for the locked Hermes execution.
01_hermes_result_locked/m33_first_external_hermes_execution_report.md,4152,642c76e99c80398849ae446c89a5340366153319c3ee1a351317b242ec453e00,Hermes-only execution report under both bracketed Amber age lanes.
01_hermes_result_locked/m33_hermes_age_bracket_results.csv,1435,9a5cc28e2d8741141fb97d788d5432ef9f0b010077f476cd1111efc10ecfb110,Hermes result table for t50=6.0±1.2 and 7.1±1.3 Gyr age lanes.
01_hermes_result_locked/m33_hermes_age_uncertainty_sensitivity.csv,1810,83a394931b67af41f4802ddb366e9127cb8971c406d4af957db0eb08a4ea2ee3,Hermes age-uncertainty sensitivity table around the two locked age brackets.
01_hermes_result_locked/m33_hermes_chi2_contribution_vs_radius.png,128341,1d53555154d6abb1f15756cfee910e561ffee91e977ed40d7c925ef58aef7be4,Hermes radial chi-squared contribution plot.
01_hermes_result_locked/m33_hermes_execution_script.py,15855,6d14d19a459a87e40650116ac5e6705bb2cc9ce828b524062acee381c2b23493,Script used for the locked Hermes-only M33 execution.
01_hermes_result_locked/m33_hermes_execution_summary.json,3269,284656541c378ec31c9e68730c19e0c34ad2d5df928ee4b2da603e7bf89a85e0,Machine-readable summary of the locked Hermes execution.
01_hermes_result_locked/m33_hermes_gate_profile.png,95623,e9a967894b8c3578dca845013d120a2b05db0037d44a9cb389265f4cef88c338,Hermes gate profile plot for the locked M33 board.
01_hermes_result_locked/m33_hermes_per_point_predictions.csv,33898,9a11b37283562763a45f69dde8049f9e1d1479d21aa04141c70b43cbf857dbcb,"Per-radius Hermes predictions, residuals, phi, beta, and diagnostic values for both age lanes."
01_hermes_result_locked/m33_hermes_radial_failure_structure.csv,1008,0dada3d840d8646d9f5d9ef6dfb98dbd58dc14ef9c6ee0a83240b1e6df8a77b8,Hermes radial mask metrics showing main-disk performance and outer-tail underprediction.
01_hermes_result_locked/m33_hermes_residuals_vs_radius.png,119448,d9ba437a9170e394bd8b5faefa6608fe864ba5c5a17dda8c1292767bb846241f,Hermes residuals versus radius plot.
01_hermes_result_locked/m33_observed_vs_hermes_two_ages.png,137980,6ae8fc511091aa06933bf562d5dbeffe33df7e1eb013af18b7a74fdc6e272b2f,Observed rotation curve vs Hermes predictions for both age brackets.
02_mond_comparator/m33_hermes_vs_mond_residual_comparison.png,155332,a11d5fbfad05f238a0d72f9dbd1c69997a11cf464095878188fbafbbf00139c3,Hermes vs MOND residual comparison plot on the same frozen board.
02_mond_comparator/m33_mond_comparator_execution_report.md,3340,2de0fff1f132ae019903a91dc761eb2a69e285dee589ba30075d90d5ae27b94d,Fixed-simple MOND comparator execution report. No M/L tuning and no a0 fitting.
02_mond_comparator/m33_mond_comparator_per_point_predictions.csv,29414,19bb341447c5d57f471bb009a91ffff296fd14320dda0dbfb466729e12c6759e,Per-radius MOND predictions/residuals plus Hermes comparison values.
02_mond_comparator/m33_mond_comparator_result_summary.csv,900,604e615999957a39b3d8a87a45d81cb45a184e8a7e3d3491280853393391baca,"MOND result summary table with N, chi2, reduced chi2, residual metrics, and classification."
02_mond_comparator/m33_mond_comparator_run_config.json,1065,e9fa799e941573af1e0474c4643ca91aea91e9c35670ab3b7bddfe5c5576a286,"Machine-readable MOND run configuration: fixed simple interpolation, fixed a0, no M/L tuning."
02_mond_comparator/m33_mond_radial_failure_structure.csv,1695,c0f34fc99494300e2de5aff2f2d83c42d509938090c16d18ad2084815420790b,MOND radial mask metrics and comparison to Hermes radial structure.
02_mond_comparator/m33_mond_residuals_vs_radius.png,109158,633378c11e80b1c02bcdc33cace2a89914baa262334a1d0c02cca5b3855abfe7,MOND residuals versus radius plot.
02_mond_comparator/m33_observed_baryons_hermes_mond_context.png,168349,bbe5a66d9d4f23de36028b3386671ed57928993945a608b4d56158f057e4b49b,"Observed, baryons, Hermes, and MOND context plot."
02_mond_comparator/m33_observed_vs_mond_fixed_simple.png,109023,3d6bf3cc61c29872c4802a6eee2d01cb110b2e359fff4147d698e0ef3396d4be,Observed rotation curve vs fixed-simple MOND prediction.
02_mond_comparator/m33_radial_chi2_contribution_comparison.png,145639,396a81a10cf152dbf538a7fa3ea3edd594185496548b904d680accda366ee747,Radial chi-squared contribution comparison for Hermes and MOND.
03_baryonic_convention_sensitivity/m33_baryonic_convention_provenance_clarification_addendum.md,1603,0a5fad904d54e783db37e80e82ca710c22798ec0fb273011b936258020b02909,"Provenance clarification: f≈1.21 is a SPARC-like diagnostic analogue, not a true SPARC-equivalent unit-M/L board."
03_baryonic_convention_sensitivity/m33_baryonic_convention_sensitivity_report.md,7940,e2b95824504157013cb3d11b039286c4ef4ba65dde0aff324babe3a564b4f027,Final M33 baryonic-convention sensitivity diagnostic report with provenance clarification included.
03_baryonic_convention_sensitivity/m33_outer_disk_hermes_diagnostic_inversion_primary_age.csv,5922,45ef8e3a14f36faba67b402113230f97d9320b2b521aec3ddac22bb6ae9b3c67,Outer-disk diagnostic inversion for Hermes under the primary 6.0 Gyr age lane.
03_baryonic_convention_sensitivity/m33_vdisk_scaling_chi2_sensitivity.png,166632,c27ad75a0e544cb651416754df69f649386f7259dd2af78248abe8a53702720d,Chi-squared sensitivity plot as Vdisk is scaled.
03_baryonic_convention_sensitivity/m33_vdisk_scaling_dense_sweep_primary_age.csv,34798,457608cbf77759dbee8b76ba1780be7a0291404f1fe3f0aac14afd7826bb8987,Dense Vdisk scaling sweep for the primary age lane.
03_baryonic_convention_sensitivity/m33_vdisk_scaling_outer_residuals.png,110257,ada18fb885dfd9bb4e2d8326e689b0e12b5aef4eec43f412ceef846fcfed2701,Outer residual behavior versus Vdisk scaling plot.
03_baryonic_convention_sensitivity/m33_vdisk_scaling_series_both_ages.csv,5180,4fdc6394c9624b251e5a794204840ec89c0eea6abe789fed621b40227fe9ca0c,"Vdisk scaling series for both locked age brackets, with recomputed g98/beta and Hermes/MOND metrics."
04_outer_disk_disequilibrium_audit/m33_chi2_disequilibrium_zone_overlay.png,160901,beeba9d6d64cde1e2acb776149ce18f36e5eaf3f1d083b5d922ff629c83ed82f,Overlay plot showing radial chi-squared contribution with disequilibrium/outer-disk zones marked.
04_outer_disk_disequilibrium_audit/m33_outer_disk_disequilibrium_audit_memo.md,11183,788f8e80aee6af1ac221862171b999d7b73ccc3810011aa0e1841795bc2c8340,"Outer-disk disequilibrium audit memo mapping Hermes stress zone to warp, break, disturbed HI, and accretion-sensitive features."
04_outer_disk_disequilibrium_audit/m33_outer_disk_literature_feature_map.csv,1262,09331062ba0a7371b477c18eb187b7b711ffc11b503ca47670ab7b3f5bd851b3,Radius-feature map for M33 outer-disk complexity literature.
04_outer_disk_disequilibrium_audit/m33_outer_disk_mask_metrics.csv,4788,dcbc36172b08414bc6f785130dd35621175a77a08d0b69a856b3d73164e70a9d,Radial mask metrics for Hermes and MOND under main-disk and outer-disk cuts.
04_outer_disk_disequilibrium_audit/m33_residuals_disequilibrium_zone_overlay.png,217997,f064b5766bea518711b5bc49b889718a9d6eee04aeca0b1665d0511eb5f0242e,Residual plot with disequilibrium/outer-disk zones marked.
05_interpretive_notes/m33_origin_trail_archive_lock.md,3074,c1230289a522f2f7df6e4f3140eb7ab027dddb63122c0c560bf15e0dae81c920,Archive classification lock for origin-trail addendum: moderate support for multi-origin gravitational-biography boundary case.
05_interpretive_notes/m33_outer_disk_origin_trail_addendum.md,18557,00150301c13c35d49348bbce0d20f32e2a0aad77e4891bbf4eb1a000f7da2d8f,"Origin-trail addendum assessing accretion-sensitive, disturbed, or multi-origin evidence for M33 outer disk/HI."
05_interpretive_notes/m33_single_system_age_assumption_note.md,8404,f6356fef476a2aa25d5b2005efa1dfae5f541e73e86cbd3d858b63b35a792dee,Interpretive note on M33 and the single-system age assumption / dynamic-aging roadmap.
99_archive_locks/m33_corbelli_hermes_only_canon_archive_lock.md,3231,32e7c1d9cfa1959a8e0654e675f30ad7100d1ffbaa609cf46405d326ce58b54f,Canon lock memo preserving the original Hermes-only M33 execution status and checksum.
